# Accelerometer Data File
# Started @Fri Dec 02 13:37:46 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.437 5.706 7.783 5
-0.406 5.702 7.798 4
-0.356 5.716 7.855 5
-0.306 5.706 7.927 5
-0.275 5.69 7.989 5
-0.263 5.709 8.013 5
-0.234 5.702 8.015 5
-0.222 5.68 8.001 5
-0.229 5.635 7.982 5
-0.229 5.623 7.963 5
-0.21 5.611 7.929 5
-0.232 5.587 7.903 5
-0.239 5.594 7.901 5
-0.277 5.599 7.879 5
-0.308 5.599 7.869 5
-0.361 5.575 7.86 5
-0.373 5.575 7.879 5
-0.387 5.544 7.929 5
-0.375 5.527 7.977 5
-0.411 5.525 8.015 5
-0.433 5.527 8.047 5
-0.437 5.551 8.097 5
-0.449 5.544 8.114 5
-0.466 5.52 8.14 5
-0.49 5.493 8.152 5
-0.495 5.467 8.126 5
-0.485 5.46 8.106 5
-0.464 5.46 8.094 5
-0.459 5.477 8.08 5
-0.421 5.534 8.066 5
-0.39 5.608 8.032 5
-0.382 5.663 7.956 5
-0.38 5.702 7.869 5
-0.421 5.737 7.793 5
-0.449 5.718 7.733 4
-0.437 5.697 7.688 5
-0.411 5.682 7.702 5
-0.387 5.702 7.721 5
-0.387 5.704 7.735 5
-0.413 5.69 7.759 5
-0.452 5.699 7.798 5
-0.478 5.659 7.884 5
-0.48 5.625 7.922 5
-0.452 5.615 7.944 5
-0.459 5.594 7.925 5
-0.44 5.589 7.917 5
-0.416 5.587 7.932 5
-0.392 5.601 7.965 5
-0.387 5.615 8.008 5
-0.385 5.618 8.039 5
-0.433 5.632 8.032 5
-0.447 5.635 8.051 5
-0.433 5.623 8.063 5
-0.394 5.627 8.137 5
-0.373 5.642 8.171 5
-0.334 5.644 8.197 5
-0.296 5.627 8.188 5
-0.279 5.627 8.159 5
-0.27 5.596 8.13 5
-0.279 5.601 8.092 5
-0.291 5.611 8.015 5
-0.339 5.599 7.977 5
-0.385 5.625 7.925 5
-0.44 5.654 7.893 5
-0.461 5.668 7.858 5
-0.478 5.666 7.85 5
-0.5 5.659 7.824 4
-0.488 5.635 7.817 5
-0.449 5.615 7.831 5
-0.409 5.603 7.889 5
-0.373 5.601 7.917 5
-0.361 5.594 7.917 5
-0.39 5.589 7.896 5
-0.454 5.572 7.86 5
-0.48 5.584 7.886 5
-0.488 5.596 7.881 5
-0.476 5.606 7.877 5
-0.452 5.63 7.865 5
-0.437 5.644 7.841 5
-0.387 5.639 7.822 5
-0.311 5.659 7.834 5
-0.241 5.682 7.858 5
-0.229 5.723 7.872 5
-0.208 5.742 7.893 5
-0.177 5.771 7.922 5
-0.16 5.785 7.927 5
-0.189 5.795 7.939 5
-0.196 5.769 7.946 5
-0.234 5.733 7.956 5
-0.275 5.697 7.975 5
-0.334 5.651 7.999 5
-0.39 5.649 8.018 5
-0.437 5.587 8.049 5
-0.452 5.565 8.08 5
-0.461 5.582 8.114 5
-0.44 5.589 8.142 5
-0.394 5.615 8.159 5
-0.366 5.656 8.164 5
-0.323 5.675 8.181 5
-0.279 5.685 8.152 4
-0.272 5.682 8.147 5
-0.277 5.68 8.109 5
-0.299 5.659 8.09 5
-0.337 5.647 8.082 5
-0.346 5.635 8.047 5
-0.363 5.644 8.018 5
-0.351 5.656 8.001 5
-0.339 5.649 7.992 5
-0.356 5.654 7.97 5
-0.368 5.666 7.925 5
-0.361 5.668 7.867 5
-0.368 5.673 7.812 5
-0.356 5.697 7.776 5
-0.363 5.733 7.759 5
-0.351 5.737 7.762 5
-0.327 5.754 7.779 5
-0.315 5.749 7.8 5
-0.337 5.714 7.788 5
-0.363 5.697 7.791 5
-0.378 5.663 7.776 5
-0.394 5.635 7.791 5
-0.397 5.632 7.793 5
-0.39 5.635 7.791 5
-0.39 5.615 7.817 5
-0.404 5.618 7.867 5
-0.442 5.627 7.893 5
-0.473 5.62 7.922 5
-0.507 5.637 7.922 5
-0.507 5.627 7.91 5
-0.485 5.62 7.913 5
-0.457 5.606 7.925 5
-0.454 5.601 7.932 4
-0.447 5.608 7.934 5
