# Accelerometer Data File
# Started @Fri Dec 02 13:32:56 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM330 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-1.015 4.175 8.772 0
-1.024 4.137 8.839 9
-0.976 4.146 8.944 10
-0.928 4.232 8.973 10
-0.928 4.28 8.82 10
-0.976 4.28 8.743 10
-1.043 4.299 8.714 10
-1.034 4.299 8.734 10
-1.034 4.328 8.743 11
-1.024 4.338 8.753 9
-1.034 4.347 8.801 10
-1.053 4.376 8.896 10
-1.053 4.367 8.925 10
-1.043 4.376 8.935 10
-1.053 4.357 8.935 10
-1.101 4.347 8.887 11
-1.13 4.319 8.877 9
-1.149 4.319 8.963 10
-1.139 4.319 8.906 10
-1.11 4.319 8.801 10
-1.139 4.395 8.686 10
-1.177 4.424 8.638 10
-1.187 4.405 8.695 10
-1.177 4.347 8.82 10
-1.149 4.29 8.896 10
-1.139 4.242 8.925 10
-1.13 4.213 8.983 10
-1.082 4.213 8.992 11
-1.005 4.223 8.916 9
-0.967 4.261 8.801 10
-0.928 4.28 8.705 10
-0.967 4.29 8.609 10
-0.986 4.271 8.552 10
-0.995 4.232 8.609 10
-1.024 4.175 8.619 10
-1.024 4.127 8.695 10
-1.005 4.118 8.762 10
-0.986 4.108 8.839 10
-0.938 4.137 8.887 10
-0.909 4.165 8.858 10
-0.928 4.194 8.781 10
-1.015 4.204 8.734 11
-1.063 4.175 8.667 9
-1.101 4.156 8.561 10
-1.072 4.165 8.542 10
-1.015 4.194 8.657 10
-0.967 4.204 8.772 10
-0.957 4.185 8.877 10
-0.909 4.156 8.896 10
-0.957 4.175 8.829 10
-0.986 4.213 8.743 10
-1.005 4.213 8.628 10
-1.024 4.232 8.599 10
-1.015 4.223 8.628 10
-0.967 4.232 8.734 11
-0.938 4.204 8.829 9
-0.957 4.156 8.906 10
-0.957 4.146 8.992 10
-0.948 4.127 8.973 10
-1.005 4.175 8.896 10
-1.015 4.223 8.82 10
-1.034 4.28 8.753 10
-1.024 4.319 8.743 10
-1.005 4.299 8.724 10
-0.957 4.261 8.667 10
-0.919 4.223 8.667 10
-0.89 4.242 8.743 10
-0.9 4.261 8.829 10
-0.909 4.252 8.858 10
-0.89 4.261 8.925 10
-0.871 4.261 8.906 10
-0.861 4.299 8.81 10
-0.871 4.328 8.714 11
-0.871 4.338 8.638 10
-0.89 4.367 8.609 9
-0.9 4.357 8.638 10
-0.9 4.328 8.705 10
-0.919 4.328 8.829 10
-0.9 4.319 8.887 11
-0.89 4.299 8.916 9
-0.928 4.28 8.896 10
-0.967 4.271 8.839 10
