# Accelerometer Data File
# Started @Fri Dec 02 13:30:00 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.617 1.524 9.492 0
-0.588 1.524 9.501 4
-0.574 1.54 9.523 5
-0.576 1.548 9.573 5
-0.586 1.56 9.58 5
-0.605 1.581 9.631 5
-0.61 1.572 9.657 5
-0.595 1.569 9.683 5
-0.591 1.562 9.683 5
-0.583 1.543 9.671 5
-0.583 1.531 9.652 5
-0.6 1.519 9.611 5
-0.595 1.533 9.59 5
-0.598 1.562 9.573 5
-0.622 1.588 9.578 5
-0.614 1.607 9.561 5
-0.567 1.641 9.559 5
-0.543 1.588 9.518 5
-0.5 1.576 9.456 5
-0.461 1.548 9.391 5
-0.478 1.502 9.353 5
-0.502 1.509 9.298 5
-0.569 1.512 9.274 5
-0.626 1.524 9.272 5
-0.66 1.545 9.308 5
-0.698 1.545 9.343 5
-0.705 1.562 9.406 5
-0.705 1.54 9.43 5
-0.677 1.55 9.47 5
-0.66 1.531 9.509 5
-0.66 1.519 9.53 5
-0.655 1.533 9.556 4
-0.653 1.56 9.576 5
-0.665 1.555 9.583 5
-0.648 1.557 9.609 5
-0.667 1.584 9.616 5
-0.658 1.596 9.655 5
-0.646 1.581 9.674 5
-0.634 1.591 9.702 5
-0.581 1.557 9.676 5
-0.547 1.548 9.674 5
-0.533 1.526 9.664 5
-0.54 1.519 9.616 5
-0.545 1.507 9.592 5
-0.576 1.519 9.571 5
-0.593 1.543 9.552 5
-0.638 1.584 9.559 5
-0.667 1.6 9.554 5
-0.679 1.607 9.568 5
-0.684 1.6 9.58 5
-0.669 1.574 9.597 5
-0.655 1.581 9.614 5
-0.636 1.569 9.638 5
-0.605 1.543 9.652 5
-0.605 1.536 9.659 5
-0.612 1.526 9.667 5
-0.6 1.526 9.667 5
-0.581 1.555 9.643 5
-0.569 1.548 9.628 5
-0.579 1.548 9.583 5
-0.559 1.562 9.568 5
-0.562 1.545 9.537 5
-0.535 1.533 9.511 5
-0.54 1.507 9.516 4
-0.533 1.529 9.501 5
-0.538 1.54 9.494 5
-0.564 1.536 9.528 5
-0.586 1.538 9.528 5
-0.581 1.548 9.53 5
-0.581 1.548 9.556 5
-0.583 1.538 9.568 5
-0.588 1.521 9.576 5
-0.588 1.5 9.583 5
-0.583 1.502 9.585 5
-0.571 1.478 9.59 5
-0.559 1.481 9.604 5
-0.54 1.476 9.58 5
-0.545 1.502 9.556 5
-0.543 1.509 9.542 5
-0.54 1.507 9.528 5
-0.555 1.5 9.525 5
-0.562 1.502 9.523 5
-0.569 1.509 9.533 5
-0.567 1.519 9.525 5
-0.569 1.512 9.554 5
-0.559 1.507 9.578 5
-0.547 1.509 9.621 5
-0.555 1.497 9.64 5
-0.521 1.471 9.652 5
-0.535 1.454 9.681 5
-0.538 1.459 9.69 5
-0.538 1.438 9.671 5
-0.55 1.428 9.645 5
-0.586 1.43 9.614 5
-0.602 1.445 9.58 5
-0.634 1.44 9.588 4
-0.653 1.442 9.564 5
-0.648 1.464 9.542 5
-0.634 1.457 9.552 5
-0.636 1.452 9.54 5
-0.634 1.442 9.53 5
-0.595 1.423 9.518 5
-0.557 1.414 9.53 5
-0.535 1.411 9.537 5
-0.514 1.414 9.544 5
-0.504 1.414 9.535 5
-0.502 1.411 9.549 5
-0.497 1.397 9.542 5
-0.521 1.383 9.516 5
-0.519 1.375 9.501 5
-0.528 1.366 9.458 5
-0.547 1.359 9.451 5
-0.547 1.378 9.434 5
-0.562 1.395 9.413 5
-0.576 1.406 9.415 5
-0.605 1.44 9.401 5
-0.631 1.442 9.437 5
-0.641 1.428 9.432 5
-0.636 1.435 9.461 5
-0.624 1.438 9.525 5
-0.646 1.43 9.521 5
-0.648 1.44 9.556 5
-0.648 1.421 9.597 5
-0.653 1.43 9.616 5
-0.65 1.423 9.64 5
-0.643 1.421 9.65 5
-0.629 1.404 9.674 5
-0.653 1.411 9.671 4
-0.638 1.43 9.686 5
-0.629 1.43 9.717 5
-0.626 1.44 9.729 5
-0.607 1.445 9.722 5
-0.574 1.418 9.75 5
-0.531 1.404 9.75 5
-0.5 1.414 9.75 5
-0.48 1.39 9.753 5
-0.461 1.39 9.75 5
-0.471 1.387 9.748 5
-0.473 1.397 9.738 5
-0.49 1.421 9.702 5
-0.507 1.438 9.662 5
-0.502 1.447 9.633 5
-0.5 1.43 9.6 5
-0.495 1.438 9.588 5
-0.497 1.435 9.566 5
-0.512 1.452 9.554 5
-0.497 1.459 9.561 5
-0.514 1.459 9.559 5
-0.512 1.442 9.566 5
-0.485 1.426 9.568 5
-0.48 1.409 9.561 5
-0.466 1.392 9.561 5
-0.464 1.404 9.561 5
-0.464 1.392 9.566 5
-0.459 1.387 9.556 5
-0.454 1.409 9.568 5
-0.442 1.409 9.564 5
-0.433 1.414 9.556 5
-0.442 1.421 9.564 5
-0.44 1.411 9.573 5
-0.433 1.423 9.573 4
-0.461 1.423 9.597 5
-0.466 1.423 9.6 5
-0.473 1.433 9.597 5
-0.495 1.438 9.578 5
-0.476 1.418 9.585 5
-0.483 1.426 9.573 5
-0.466 1.414 9.559 5
-0.44 1.406 9.537 5
-0.435 1.383 9.535 5
-0.44 1.406 9.54 5
-0.44 1.414 9.556 5
-0.428 1.418 9.573 5
-0.428 1.416 9.602 5
-0.425 1.423 9.607 5
-0.445 1.44 9.609 5
-0.449 1.442 9.628 5
-0.457 1.418 9.657 5
-0.447 1.395 9.669 5
-0.452 1.409 9.686 5
-0.459 1.418 9.712 5
-0.459 1.406 9.717 5
-0.459 1.383 9.71 5
-0.476 1.378 9.688 5
-0.497 1.371 9.667 5
-0.519 1.363 9.662 5
-0.531 1.361 9.671 5
-0.543 1.368 9.678 5
-0.552 1.361 9.664 5
-0.531 1.335 9.662 5
-0.495 1.316 9.647 5
-0.488 1.311 9.643 4
-0.471 1.301 9.628 5
-0.483 1.301 9.616 5
-0.478 1.301 9.607 5
-0.473 1.304 9.59 5
-0.464 1.292 9.583 5
-0.471 1.294 9.571 5
-0.471 1.294 9.566 5
-0.449 1.296 9.535 5
-0.452 1.296 9.513 5
-0.461 1.282 9.511 5
-0.5 1.27 9.511 5
-0.507 1.27 9.521 5
-0.538 1.277 9.542 5
-0.562 1.275 9.566 5
-0.564 1.251 9.588 5
-0.562 1.234 9.621 5
-0.576 1.237 9.628 5
-0.569 1.237 9.652 5
-0.581 1.239 9.664 5
-0.583 1.272 9.7 5
-0.583 1.27 9.726 5
-0.586 1.277 9.736 5
-0.569 1.277 9.745 5
-0.557 1.272 9.745 5
-0.516 1.268 9.719 5
-0.502 1.284 9.69 5
-0.483 1.28 9.662 5
-0.445 1.28 9.59 5
-0.423 1.299 9.54 4
-0.399 1.313 9.497 5
-0.378 1.313 9.439 5
-0.368 1.335 9.394 5
-0.354 1.313 9.367 5
-0.351 1.313 9.339 5
-0.344 1.316 9.348 5
-0.344 1.299 9.363 5
-0.358 1.263 9.365 5
-0.366 1.265 9.391 5
-0.38 1.265 9.427 5
-0.404 1.28 9.47 5
-0.411 1.272 9.506 5
-0.423 1.299 9.556 5
-0.44 1.313 9.585 5
-0.425 1.335 9.616 5
-0.442 1.351 9.64 5
-0.421 1.337 9.662 5
-0.38 1.32 9.674 5
-0.382 1.299 9.671 5
-0.361 1.284 9.671 5
-0.342 1.272 9.681 5
-0.33 1.261 9.674 5
-0.339 1.241 9.64 5
-0.342 1.253 9.619 5
-0.366 1.215 9.59 5
-0.385 1.203 9.576 5
-0.401 1.213 9.547 5
-0.421 1.213 9.528 5
-0.44 1.217 9.499 5
-0.459 1.234 9.499 5
-0.483 1.239 9.53 4
-0.507 1.258 9.578 5
-0.524 1.268 9.607 5
-0.514 1.287 9.628 5
-0.519 1.277 9.643 5
-0.49 1.246 9.676 5
-0.478 1.258 9.7 5
-0.485 1.246 9.705 5
-0.492 1.239 9.681 5
-0.526 1.234 9.678 5
-0.562 1.253 9.676 5
-0.586 1.261 9.664 5
-0.61 1.282 9.676 5
-0.619 1.294 9.671 5
-0.624 1.294 9.681 5
-0.593 1.296 9.678 5
-0.552 1.304 9.671 5
-0.54 1.311 9.683 5
-0.497 1.313 9.667 5
-0.464 1.318 9.693 5
-0.43 1.351 9.698 5
-0.394 1.356 9.683 5
-0.327 1.361 9.674 5
-0.299 1.366 9.657 5
-0.236 1.392 9.626 5
-0.229 1.385 9.59 5
-0.22 1.423 9.568 5
-0.251 1.428 9.544 5
-0.236 1.457 9.544 5
-0.251 1.466 9.544 5
-0.256 1.447 9.525 5
-0.284 1.442 9.504 5
-0.294 1.442 9.518 5
-0.306 1.442 9.525 4
-0.308 1.426 9.525 5
-0.306 1.406 9.542 5
-0.311 1.399 9.561 5
-0.306 1.387 9.552 5
-0.311 1.371 9.535 5
-0.332 1.361 9.547 5
-0.342 1.354 9.528 5
-0.354 1.347 9.53 5
-0.358 1.361 9.535 5
-0.387 1.373 9.54 5
-0.397 1.354 9.554 5
-0.423 1.347 9.554 5
-0.449 1.354 9.547 5
-0.452 1.342 9.561 5
-0.449 1.33 9.58 5
-0.464 1.318 9.583 5
-0.483 1.323 9.597 5
-0.519 1.313 9.592 5
-0.533 1.335 9.609 5
-0.557 1.337 9.64 5
-0.583 1.313 9.64 5
-0.605 1.304 9.667 5
-0.629 1.296 9.705 5
-0.617 1.296 9.693 5
-0.595 1.301 9.7 5
-0.571 1.304 9.717 5
-0.567 1.299 9.712 5
-0.524 1.316 9.7 5
-0.5 1.32 9.693 5
-0.476 1.328 9.702 5
-0.457 1.339 9.693 4
-0.445 1.342 9.662 5
-0.43 1.347 9.667 5
-0.418 1.337 9.659 5
-0.418 1.347 9.65 5
-0.406 1.351 9.638 5
-0.425 1.354 9.616 5
-0.406 1.344 9.609 5
-0.416 1.306 9.595 5
-0.421 1.287 9.592 5
-0.44 1.28 9.592 5
-0.44 1.277 9.59 5
-0.452 1.263 9.59 5
-0.471 1.265 9.571 5
-0.457 1.256 9.556 5
-0.473 1.239 9.549 5
-0.485 1.249 9.549 5
-0.507 1.237 9.535 5
-0.512 1.225 9.523 5
-0.519 1.225 9.499 5
-0.512 1.253 9.489 5
-0.526 1.268 9.482 5
-0.528 1.275 9.485 5
-0.521 1.27 9.489 5
-0.492 1.27 9.497 5
-0.492 1.263 9.501 5
-0.483 1.277 9.513 5
-0.473 1.261 9.523 5
-0.449 1.251 9.523 5
-0.447 1.261 9.537 5
-0.43 1.263 9.547 5
-0.442 1.263 9.561 5
-0.457 1.258 9.576 4
-0.464 1.253 9.59 5
-0.483 1.265 9.628 5
-0.504 1.275 9.655 5
-0.519 1.284 9.671 5
-0.485 1.316 9.724 5
-0.473 1.337 9.748 5
-0.48 1.366 9.753 5
-0.423 1.395 9.765 5
-0.392 1.411 9.781 5
-0.361 1.402 9.8 5
-0.337 1.416 9.784 5
-0.303 1.409 9.767 5
-0.301 1.373 9.748 5
-0.325 1.366 9.717 5
-0.325 1.33 9.674 5
-0.337 1.342 9.626 5
-0.368 1.332 9.552 5
-0.39 1.306 9.533 5
-0.437 1.289 9.497 5
-0.452 1.306 9.475 5
-0.478 1.301 9.482 5
-0.497 1.306 9.473 5
-0.492 1.301 9.489 5
-0.504 1.294 9.487 5
-0.48 1.284 9.518 5
-0.461 1.28 9.53 5
-0.435 1.294 9.54 5
-0.392 1.304 9.566 5
-0.354 1.294 9.566 5
-0.325 1.294 9.573 5
-0.303 1.284 9.583 5
-0.294 1.292 9.559 4
-0.275 1.294 9.568 5
-0.27 1.311 9.556 5
-0.246 1.311 9.571 5
-0.241 1.318 9.564 5
-0.246 1.347 9.564 5
-0.258 1.339 9.576 5
-0.272 1.344 9.573 5
-0.308 1.351 9.571 5
-0.334 1.363 9.58 5
-0.337 1.383 9.614 5
-0.344 1.363 9.623 5
-0.363 1.354 9.635 5
-0.349 1.335 9.626 5
-0.37 1.301 9.607 5
-0.38 1.308 9.616 5
-0.401 1.301 9.623 5
-0.401 1.313 9.623 5
-0.411 1.313 9.638 5
-0.401 1.323 9.64 5
-0.404 1.294 9.662 5
-0.404 1.301 9.667 5
-0.387 1.313 9.683 5
-0.373 1.311 9.681 5
-0.337 1.328 9.695 5
-0.334 1.328 9.712 5
-0.318 1.325 9.729 5
-0.315 1.316 9.731 5
-0.315 1.325 9.698 5
-0.327 1.308 9.693 5
-0.315 1.325 9.681 5
-0.32 1.349 9.688 5
-0.294 1.339 9.657 4
-0.308 1.366 9.652 5
-0.325 1.354 9.645 5
-0.291 1.313 9.595 5
-0.272 1.316 9.566 5
-0.289 1.301 9.537 5
-0.303 1.296 9.528 5
-0.323 1.289 9.489 5
-0.332 1.27 9.482 5
-0.346 1.277 9.446 5
-0.356 1.28 9.42 5
-0.368 1.284 9.418 5
-0.385 1.282 9.425 5
-0.399 1.282 9.427 5
-0.394 1.28 9.442 5
-0.392 1.272 9.437 5
-0.373 1.282 9.42 5
-0.37 1.268 9.43 5
-0.38 1.272 9.439 5
-0.394 1.272 9.42 5
-0.406 1.282 9.408 5
-0.409 1.287 9.437 5
-0.423 1.272 9.432 5
-0.411 1.282 9.458 5
-0.411 1.301 9.458 5
-0.404 1.306 9.468 5
-0.409 1.311 9.48 5
-0.406 1.316 9.535 5
-0.425 1.342 9.583 5
-0.442 1.366 9.628 5
-0.452 1.361 9.664 5
-0.442 1.39 9.705 4
-0.447 1.392 9.729 5
-0.464 1.368 9.75 5
-0.445 1.373 9.753 5
-0.435 1.373 9.76 5
-0.428 1.342 9.755 5
-0.413 1.323 9.753 5
-0.397 1.296 9.753 5
-0.411 1.282 9.734 5
-0.416 1.287 9.693 5
