# Accelerometer Data File
# Started @Fri Dec 02 13:32:54 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.222 1.055 9.755 0
-0.236 1.057 9.786 4
-0.217 1.028 9.815 5
-0.193 1.007 9.834 5
-0.191 1.0 9.851 5
-0.201 0.99 9.832 5
-0.205 1.0 9.8 5
-0.217 0.983 9.753 5
-0.179 1.016 9.745 5
-0.174 1.048 9.714 5
-0.148 1.079 9.722 5
-0.148 1.062 9.717 5
-0.155 1.043 9.722 5
-0.134 1.009 9.712 5
-0.143 0.976 9.688 5
-0.136 0.952 9.676 5
-0.145 0.966 9.652 5
-0.153 0.981 9.635 5
-0.141 0.964 9.597 5
-0.167 0.981 9.583 5
-0.153 0.978 9.576 5
-0.148 1.012 9.552 5
-0.136 0.985 9.53 5
-0.122 0.942 9.535 5
-0.129 0.911 9.552 5
-0.136 0.851 9.535 5
-0.16 0.825 9.542 5
-0.15 0.827 9.571 5
-0.145 0.823 9.588 5
-0.102 0.837 9.628 5
-0.064 0.851 9.64 4
-0.05 0.854 9.671 5
-0.071 0.899 9.683 5
-0.078 0.937 9.676 5
-0.138 0.99 9.633 5
-0.196 1.024 9.614 5
-0.277 1.052 9.628 5
-0.497 1.138 9.64 5
-1.904 1.66 9.791 5
-1.847 1.768 9.789 5
-1.256 1.691 9.585 5
-0.71 1.572 9.281 5
-0.342 1.442 9.102 5
-0.165 1.301 9.042 5
-0.172 1.189 9.059 5
-0.265 1.083 9.205 5
-0.363 0.988 9.403 5
-0.375 0.916 9.585 5
-0.325 0.923 9.702 5
-0.267 0.914 9.741 5
-0.236 0.921 9.75 5
-0.26 0.942 9.755 5
-0.33 0.976 9.753 5
-0.404 1.009 9.753 5
-0.442 1.031 9.724 5
-0.457 1.016 9.662 5
-0.445 1.043 9.638 5
-0.416 1.019 9.604 5
-0.366 1.007 9.609 5
-0.334 1.002 9.633 5
-0.301 0.978 9.659 4
-0.27 0.94 9.678 5
-0.215 0.902 9.683 5
-0.169 0.849 9.688 5
-0.112 0.784 9.69 5
-0.071 0.739 9.671 5
-0.011 0.696 9.657 5
0.007 0.667 9.635 5
0.045 0.677 9.638 5
0.047 0.672 9.626 5
0.05 0.708 9.626 5
0.057 0.705 9.657 5
0.05 0.732 9.659 5
0.047 0.732 9.678 5
0.047 0.784 9.695 5
0.043 0.789 9.719 5
0.031 0.789 9.736 5
-0.002 0.789 9.75 5
-0.009 0.801 9.755 5
-0.047 0.82 9.753 5
-0.052 0.825 9.753 5
-0.057 0.861 9.748 5
-0.098 0.894 9.726 5
-0.102 0.945 9.7 5
-0.124 0.983 9.657 5
-0.117 1.016 9.635 5
-0.129 1.033 9.631 5
-0.181 1.048 9.611 5
-0.215 1.062 9.583 5
-0.229 1.098 9.559 5
-0.244 1.122 9.552 4
-0.251 1.124 9.561 5
-0.26 1.129 9.59 5
-0.277 1.136 9.609 5
-0.282 1.16 9.611 5
-0.303 1.153 9.631 5
