# Accelerometer Data File
# Started @Fri Dec 02 13:26:22 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM330 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.995 4.319 8.791 0
-0.909 4.395 8.667 9
-0.785 4.367 8.714 10
-0.718 4.28 8.801 10
-0.679 4.232 8.839 10
-0.66 4.232 8.791 10
-0.603 4.271 8.714 10
-0.517 4.299 8.561 10
-0.44 4.338 8.494 10
-0.411 4.338 8.513 10
-0.497 4.319 8.58 10
-0.565 4.29 8.657 10
-0.584 4.242 8.753 10
-0.526 4.223 8.772 10
-0.497 4.252 8.82 10
-0.44 4.271 8.868 10
-0.45 4.28 8.925 10
-0.459 4.271 8.973 10
-0.459 4.271 8.983 10
-0.45 4.261 8.973 10
-0.44 4.252 8.935 10
-0.497 4.232 8.963 10
-0.565 4.223 9.078 11
-0.66 4.194 9.107 9
-0.689 4.213 9.03 10
-0.632 4.242 8.906 10
-0.67 4.28 8.705 10
-0.679 4.309 8.58 10
-0.622 4.367 8.456 11
-0.565 4.395 8.379 9
-0.574 4.367 8.427 10
-0.555 4.319 8.542 10
-0.565 4.252 8.686 11
-0.593 4.137 8.82 9
-0.67 4.089 8.916 11
-0.746 4.05 8.973 9
-0.785 3.983 9.078 10
-0.785 3.964 9.088 10
-0.746 3.974 8.944 10
-0.708 4.012 8.791 10
-0.679 4.06 8.647 10
-0.651 4.108 8.494 10
-0.679 4.089 8.465 10
-0.775 4.012 8.609 10
-0.775 3.974 8.772 10
-0.766 3.916 8.925 10
-0.766 3.84 9.03 10
-0.794 3.84 9.126 11
-0.852 3.811 9.155 10
-0.928 3.792 9.184 9
-1.005 3.821 9.155 10
-1.053 3.878 9.03 10
-1.053 3.945 8.887 10
-1.024 3.993 8.705 10
-0.976 4.041 8.523 10
-0.919 4.05 8.446 10
-0.871 4.003 8.475 10
-0.871 3.955 8.609 10
-0.928 3.897 8.791 10
-0.967 3.859 8.973 10
-0.948 3.84 9.05 10
-0.948 3.888 8.983 10
-0.919 3.936 8.81 11
-0.919 3.993 8.619 9
-0.881 4.079 8.446 10
-0.861 4.127 8.389 10
-0.842 4.165 8.418 10
-0.823 4.156 8.532 11
-0.794 4.137 8.647 9
-0.861 4.165 8.705 11
-0.804 4.175 8.724 9
-0.746 4.185 8.868 10
-0.708 4.156 9.011 10
-0.727 4.118 9.155 11
-0.689 4.07 9.26 9
-0.689 4.137 9.26 10
-0.785 4.204 9.117 11
-0.852 4.299 8.954 10
-0.948 4.395 8.81 10
-0.986 4.434 8.686 10
-0.928 4.462 8.571 9
-0.833 4.481 8.485 10
-0.718 4.51 8.513 10
-0.679 4.472 8.609 11
-0.766 4.424 8.839 9
-0.881 4.309 9.05 10
-0.938 4.232 9.203 11
-0.9 4.194 9.279 9
-0.794 4.165 9.222 10
-0.67 4.194 9.088 10
-0.612 4.232 8.944 10
-0.651 4.309 8.82 10
-0.737 4.347 8.734 10
-0.871 4.347 8.695 11
-0.928 4.338 8.695 10
-0.948 4.319 8.724 9
-0.976 4.299 8.801 11
-1.015 4.309 8.82 9
-1.034 4.299 8.81 10
-0.967 4.309 8.791 10
-0.881 4.28 8.81 10
-0.814 4.252 8.781 10
-0.727 4.232 8.82 11
-0.727 4.194 8.848 9
-0.794 4.175 8.916 11
-0.852 4.127 8.992 9
-0.928 4.089 9.05 10
-0.928 4.098 9.021 10
-0.881 4.127 8.916 10
-0.775 4.185 8.801 10
-0.718 4.232 8.657 10
-0.66 4.271 8.561 10
-0.622 4.299 8.561 11
-0.679 4.328 8.58 9
-0.746 4.309 8.638 10
-0.842 4.299 8.734 10
-0.833 4.28 8.791 11
-0.775 4.252 8.791 9
-0.679 4.271 8.829 11
-0.622 4.261 8.868 9
-0.593 4.271 8.906 10
-0.612 4.28 8.935 10
-0.679 4.29 8.896 10
-0.718 4.328 8.829 10
-0.708 4.386 8.734 11
-0.699 4.395 8.647 9
-0.66 4.434 8.58 11
-0.632 4.453 8.561 9
-0.641 4.443 8.571 11
-0.632 4.424 8.619 10
-0.584 4.386 8.695 9
-0.574 4.367 8.801 10
-0.593 4.338 8.877 10
-0.584 4.328 8.877 11
-0.555 4.376 8.829 9
-0.497 4.443 8.686 10
-0.488 4.462 8.599 11
-0.507 4.462 8.59 10
-0.574 4.453 8.647 9
-0.622 4.405 8.762 10
-0.66 4.414 8.81 10
-0.651 4.434 8.829 10
-0.584 4.472 8.762 10
-0.507 4.491 8.714 10
-0.507 4.52 8.638 10
-0.545 4.548 8.58 10
