# Accelerometer Data File
# Started @Fri Dec 02 13:30:54 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM330 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.823 4.242 8.705 10
-0.756 4.232 8.772 10
-0.718 4.194 8.839 10
-0.689 4.175 8.877 10
-0.708 4.175 8.906 10
-0.689 4.185 8.896 11
-0.699 4.194 8.877 9
-0.727 4.232 8.839 10
-0.746 4.261 8.781 10
-0.794 4.252 8.753 10
-0.823 4.271 8.686 10
-0.814 4.299 8.628 10
-0.775 4.29 8.619 10
-0.699 4.261 8.619 10
-0.622 4.242 8.647 10
-0.565 4.223 8.695 10
-0.565 4.242 8.791 10
-0.612 4.242 8.839 10
-0.746 4.223 8.839 10
-0.842 4.213 8.801 10
-0.861 4.242 8.743 10
-0.871 4.28 8.686 10
-0.871 4.309 8.638 10
-0.804 4.319 8.619 11
-0.756 4.319 8.619 10
-0.699 4.309 8.638 9
-0.651 4.309 8.667 10
-0.66 4.271 8.705 11
-0.689 4.213 8.724 9
-0.699 4.185 8.714 10
-0.708 4.194 8.753 10
-0.727 4.194 8.724 10
-0.737 4.194 8.676 10
-0.699 4.213 8.647 10
-0.641 4.223 8.599 10
-0.565 4.242 8.628 10
-0.478 4.252 8.647 10
-0.44 4.223 8.676 10
-0.44 4.194 8.714 10
-0.44 4.204 8.781 10
-0.526 4.223 8.858 10
-0.622 4.213 8.887 10
-0.708 4.194 8.868 10
-0.727 4.204 8.848 10
-0.708 4.252 8.82 10
-0.641 4.271 8.81 10
-0.632 4.29 8.839 11
-0.699 4.28 8.877 9
-0.766 4.213 8.925 10
-0.804 4.156 8.983 10
-0.804 4.127 9.002 10
-0.718 4.156 8.992 10
-0.651 4.185 8.877 10
-0.574 4.223 8.743 10
-0.536 4.319 8.638 10
-0.574 4.357 8.561 10
-0.622 4.376 8.504 10
-0.727 4.386 8.485 10
-0.746 4.414 8.523 11
-0.756 4.395 8.599 9
-0.737 4.367 8.705 10
-0.737 4.299 8.81 10
-0.737 4.261 8.906 10
-0.746 4.232 9.021 10
-0.737 4.213 9.059 10
-0.746 4.223 9.059 10
-0.746 4.223 9.069 10
-0.746 4.252 9.03 10
-0.746 4.252 8.954 10
-0.766 4.242 8.896 10
-0.737 4.242 8.82 10
-0.727 4.223 8.762 10
-0.756 4.223 8.753 10
-0.756 4.232 8.781 10
-0.746 4.242 8.791 10
-0.708 4.261 8.801 10
-0.679 4.232 8.81 10
-0.612 4.213 8.839 10
-0.593 4.185 8.858 10
-0.584 4.165 8.868 10
-0.632 4.156 8.877 10
-0.66 4.175 8.896 10
-0.727 4.175 8.935 10
-0.775 4.146 8.935 10
-0.804 4.127 8.973 10
-0.823 4.127 8.983 10
-0.842 4.137 8.954 11
-0.833 4.156 8.887 9
-0.823 4.175 8.772 10
-0.833 4.213 8.628 11
-0.804 4.28 8.494 9
-0.756 4.299 8.427 10
-0.727 4.299 8.408 10
-0.727 4.299 8.475 11
-0.766 4.242 8.58 9
-0.766 4.185 8.695 10
-0.756 4.165 8.829 10
-0.737 4.165 8.925 10
-0.718 4.156 9.011 10
-0.727 4.118 9.04 10
-0.651 4.108 9.03 10
-0.593 4.089 8.992 10
-0.536 4.098 8.944 10
-0.507 4.137 8.963 10
-0.555 4.146 8.963 10
-0.699 4.098 8.992 10
-0.794 4.06 8.983 11
-0.814 4.06 8.963 9
-0.746 4.108 8.906 10
-0.67 4.165 8.81 10
-0.622 4.232 8.714 10
-0.651 4.28 8.619 10
-0.718 4.299 8.552 10
-0.814 4.299 8.561 10
-0.852 4.309 8.561 10
-0.833 4.28 8.58 10
-0.775 4.232 8.609 10
-0.66 4.204 8.647 10
-0.536 4.213 8.714 10
-0.469 4.213 8.81 10
-0.44 4.175 8.916 10
-0.497 4.118 8.983 10
-0.603 4.079 8.973 10
-0.66 4.079 8.935 11
-0.67 4.118 8.887 9
-0.699 4.175 8.887 10
-0.689 4.204 8.839 10
-0.679 4.194 8.791 10
-0.603 4.165 8.734 11
-0.488 4.175 8.638 9
-0.383 4.194 8.571 10
-0.354 4.252 8.523 10
-0.392 4.299 8.552 10
-0.459 4.28 8.619 10
-0.574 4.223 8.695 10
-0.641 4.194 8.791 10
-0.679 4.194 8.81 10
-0.651 4.194 8.829 10
-0.584 4.252 8.82 10
-0.526 4.271 8.81 10
-0.507 4.271 8.772 10
-0.536 4.271 8.762 10
-0.584 4.271 8.781 10
-0.651 4.28 8.801 10
-0.689 4.28 8.801 10
-0.679 4.252 8.781 10
-0.641 4.261 8.81 10
-0.603 4.252 8.82 10
-0.593 4.252 8.896 10
-0.632 4.204 8.944 10
-0.651 4.185 9.002 10
-0.66 4.156 9.03 11
-0.632 4.127 9.03 9
-0.603 4.108 9.002 10
-0.545 4.098 8.916 11
-0.507 4.118 8.848 9
-0.497 4.127 8.781 10
-0.497 4.156 8.734 10
-0.555 4.137 8.714 10
-0.632 4.127 8.657 11
-0.67 4.156 8.619 9
-0.67 4.194 8.647 10
-0.699 4.185 8.667 10
-0.727 4.127 8.695 11
-0.708 4.07 8.743 9
-0.66 4.108 8.791 10
-0.622 4.146 8.82 10
-0.632 4.156 8.772 10
-0.632 4.175 8.753 10
-0.67 4.194 8.753 10
-0.699 4.165 8.705 10
-0.756 4.146 8.743 10
-0.775 4.156 8.743 10
-0.766 4.156 8.762 10
-0.737 4.137 8.772 10
-0.689 4.156 8.762 10
-0.689 4.165 8.743 10
-0.67 4.156 8.734 10
-0.679 4.146 8.781 10
-0.67 4.175 8.801 10
-0.651 4.156 8.839 10
-0.679 4.127 8.877 10
-0.689 4.108 8.906 10
-0.651 4.108 8.868 10
-0.622 4.098 8.868 10
-0.565 4.098 8.848 10
-0.526 4.098 8.81 10
-0.526 4.137 8.82 10
-0.565 4.156 8.801 10
-0.603 4.137 8.762 10
-0.612 4.137 8.734 10
-0.536 4.156 8.686 10
-0.44 4.137 8.657 10
-0.363 4.118 8.647 10
-0.344 4.098 8.657 10
-0.392 4.098 8.724 10
-0.488 4.07 8.762 10
-0.545 4.06 8.868 10
-0.574 4.012 8.916 11
-0.555 3.974 8.906 10
-0.488 3.945 8.848 9
-0.478 4.012 8.791 10
-0.478 4.118 8.753 10
-0.507 4.185 8.647 10
-0.555 4.165 8.561 10
-0.612 4.194 8.427 11
-0.526 4.309 8.341 9
-0.411 4.405 8.264 10
-0.316 4.424 8.207 10
-0.268 4.491 8.188 10
-0.191 4.52 8.101 10
-0.172 4.568 8.092 10
-0.134 4.654 8.14 10
-0.162 4.73 8.264 11
-0.344 4.73 8.485 9
-0.593 4.692 8.667 10
-0.833 4.663 8.916 10
-0.967 4.654 9.059 10
-1.034 4.654 9.136 10
-0.995 4.644 9.126 10
-0.89 4.635 9.059 10
-0.766 4.635 8.983 11
-0.67 4.663 8.983 9
-0.66 4.663 9.03 10
-0.727 4.616 9.069 10
-0.814 4.596 9.04 10
-0.833 4.606 8.896 10
-0.794 4.663 8.724 10
-0.804 4.711 8.465 10
-0.881 4.817 8.188 10
-0.948 4.922 7.967 10
-1.024 5.027 7.795 10
-1.072 5.114 7.671 10
-1.043 5.2 7.68 11
-0.986 5.2 7.795 9
-0.938 5.066 8.006 10
-0.861 4.96 8.255 10
-0.746 4.874 8.523 10
-0.699 4.845 8.734 10
-0.651 4.884 8.82 10
-0.526 4.97 8.81 10
-0.316 5.075 8.724 10
-0.143 5.181 8.657 10
-0.047 5.228 8.619 10
-0.124 5.2 8.714 10
-0.287 5.181 8.906 10
-0.478 5.114 9.155 11
-0.565 5.085 9.375 9
-0.574 5.085 9.519 10
-0.526 5.056 9.595 10
-0.402 5.046 9.586 10
-0.258 4.999 9.557 10
-0.095 4.951 9.538 10
-0.009 4.893 9.519 10
-0.009 4.769 9.461 10
0.086 4.75 9.299 11
0.22 4.778 9.145 9
0.411 4.826 9.088 10
0.603 4.855 8.973 10
0.737 4.826 8.896 10
0.727 4.826 8.829 10
0.603 4.874 8.887 10
0.497 4.989 8.954 10
0.306 5.037 9.05 11
0.153 5.037 9.251 9
0.009 4.97 9.375 11
-0.134 4.778 9.49 9
-0.373 4.558 9.653 11
-0.517 4.395 9.624 10
-0.574 4.328 9.509 9
-0.469 4.309 9.193 10
-0.354 4.357 8.906 10
-0.296 4.52 8.753 10
-0.411 4.548 8.81 11
-0.66 4.29 9.078 9
-0.833 4.06 9.251 11
-0.938 3.801 9.634 9
-0.871 3.706 9.806 10
-0.756 3.696 9.902 10
-0.612 3.744 9.864 10
-0.517 3.706 9.825 10
-0.545 3.552 9.768 10
-0.679 3.399 9.787 10
-0.833 3.208 9.873 11
-1.043 3.102 9.854 9
-1.254 3.045 9.73 10
-1.417 3.064 9.385 10
-1.493 3.169 8.935 10
-1.426 3.303 8.494 10
-1.312 3.428 8.044 10
-1.12 3.505 7.852 10
-0.881 3.591 7.68 10
-0.67 3.62 7.757 11
-0.574 3.562 7.785 10
-0.517 3.485 7.843 9
-0.45 3.428 7.92 10
-0.402 3.38 7.833 10
-0.363 3.38 7.69 10
-0.316 3.476 7.527 10
-0.229 3.629 7.422 10
-0.181 3.83 7.374 10
-0.181 3.974 7.307 10
-0.172 4.118 7.354 10
-0.248 4.175 7.469 11
-0.325 4.156 7.489 9
-0.354 4.137 7.489 10
-0.287 4.204 7.584 10
-0.191 4.376 7.728 10
-0.162 4.51 7.91 10
-0.258 4.606 8.14 10
-0.44 4.635 8.331 10
-0.555 4.692 8.513 10
-0.584 4.769 8.705 10
-0.574 4.836 8.906 10
-0.536 4.912 9.203 11
-0.488 4.96 9.452 9
-0.354 4.941 9.739 10
-0.268 4.855 9.969 11
-0.239 4.75 10.122 9
-0.316 4.644 10.189 11
-0.469 4.577 10.189 9
-0.612 4.491 10.084 10
