# Accelerometer Data File
# Started @Fri Dec 02 13:38:16 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM330 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.928 4.73 8.695 0
-0.928 4.797 8.523 10
-0.928 4.836 8.36 9
-1.091 4.874 8.197 10
-1.417 5.008 8.322 11
-1.254 5.008 8.303 9
-1.12 4.912 8.274 11
-1.063 4.874 8.513 10
-1.139 4.817 8.59 10
-1.244 4.836 8.59 10
-1.216 4.865 8.504 10
-1.187 4.893 8.293 9
-1.168 4.903 8.226 11
-1.187 4.884 8.226 10
-1.197 4.893 8.245 9
-1.149 4.893 8.264 11
-1.177 4.865 8.312 9
-1.149 4.836 8.331 11
-1.11 4.807 8.37 10
-1.072 4.797 8.408 9
-1.053 4.797 8.465 10
-1.082 4.788 8.523 11
-1.139 4.778 8.561 9
-1.216 4.759 8.628 11
-1.244 4.759 8.619 10
-1.235 4.826 8.552 9
-1.216 4.874 8.475 11
-1.177 4.932 8.36 10
-1.13 4.97 8.303 10
-1.091 4.97 8.264 10
-1.043 4.989 8.264 9
-1.015 4.999 8.283 10
-1.034 5.008 8.293 11
-1.053 4.999 8.35 9
-1.053 4.989 8.322 11
-0.995 4.989 8.274 10
-0.967 4.97 8.35 9
-0.928 4.903 8.456 11
-0.948 4.836 8.647 10
-0.928 4.769 8.762 9
-0.861 4.75 8.734 11
-0.775 4.759 8.619 10
-0.708 4.817 8.475 10
-0.737 4.855 8.408 10
-0.804 4.865 8.389 10
-0.861 4.865 8.456 10
-0.909 4.865 8.504 10
-0.909 4.845 8.523 10
-0.852 4.855 8.427 9
-0.804 4.903 8.303 11
-0.756 4.903 8.178 9
-0.737 4.922 8.082 11
-0.775 4.932 8.14 10
-0.804 4.884 8.216 9
-0.852 4.845 8.312 10
-0.833 4.845 8.398 11
-0.814 4.865 8.36 10
-0.775 4.932 8.283 10
-0.823 4.96 8.255 10
-0.871 4.951 8.341 10
-0.909 4.893 8.485 10
-0.919 4.826 8.628 10
-0.957 4.75 8.781 10
-0.948 4.692 8.877 10
-0.957 4.702 8.887 9
-0.948 4.74 8.829 10
-0.89 4.778 8.724 11
-0.9 4.759 8.638 9
-0.909 4.797 8.542 11
-0.948 4.807 8.494 10
-0.995 4.788 8.523 10
-1.015 4.778 8.504 10
-0.976 4.807 8.437 10
-0.938 4.817 8.36 9
-0.871 4.826 8.293 11
-0.823 4.826 8.236 10
-0.871 4.797 8.293 9
-0.938 4.759 8.389 11
-0.986 4.769 8.437 9
-0.976 4.73 8.494 11
-0.919 4.721 8.446 9
-0.804 4.711 8.398 10
-0.737 4.788 8.283 11
-0.699 4.855 8.236 10
-0.708 4.845 8.283 10
-0.737 4.865 8.389 10
-0.699 4.845 8.513 10
-0.66 4.788 8.647 9
-0.632 4.788 8.714 11
-0.727 4.817 8.724 10
-0.833 4.865 8.724 9
-0.938 4.932 8.609 11
-0.986 4.932 8.571 10
-0.986 4.893 8.676 10
-1.034 4.836 8.791 10
-1.11 4.75 9.03 9
-1.177 4.663 9.097 10
-1.197 4.673 9.069 11
-1.149 4.711 8.916 10
-1.053 4.769 8.714 9
-0.957 4.797 8.494 11
-0.9 4.836 8.341 10
-0.919 4.865 8.312 10
-0.948 4.865 8.264 10
-0.986 4.874 8.226 10
-1.005 4.874 8.216 10
-1.034 4.845 8.169 10
-1.024 4.836 8.197 10
-1.005 4.788 8.303 10
-0.976 4.75 8.398 10
-0.919 4.702 8.513 10
-0.928 4.663 8.619 10
-0.948 4.663 8.667 9
-1.024 4.692 8.638 11
-1.072 4.769 8.58 10
-1.13 4.817 8.475 10
-1.139 4.836 8.398 9
-1.158 4.836 8.408 11
-1.149 4.817 8.446 9
-1.082 4.797 8.542 10
-1.043 4.807 8.542 11
-1.034 4.807 8.542 9
-1.034 4.855 8.475 10
-1.015 4.893 8.37 10
-1.005 4.912 8.264 11
-0.995 4.922 8.178 10
-0.967 4.922 8.159 9
-0.986 4.912 8.216 10
-0.957 4.893 8.283 11
-0.948 4.855 8.341 9
-0.976 4.826 8.408 11
-0.957 4.817 8.456 10
-0.967 4.797 8.485 9
-0.919 4.778 8.571 11
-0.89 4.778 8.59 10
