# Accelerometer Data File
# Started @Fri Dec 02 13:33:46 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.519 2.658 9.272 0
-0.581 2.653 9.274 4
-0.665 2.627 9.315 5
-0.76 2.591 9.394 5
-0.777 2.56 9.463 5
-0.765 2.553 9.489 5
-0.768 2.541 9.528 5
-0.784 2.543 9.595 5
-0.78 2.55 9.655 5
-0.744 2.548 9.671 5
-0.739 2.553 9.712 5
-0.703 2.529 9.748 5
-0.643 2.51 9.748 5
-0.574 2.512 9.693 5
-0.535 2.524 9.621 5
-0.567 2.49 9.401 5
-0.562 2.488 9.3 5
-0.528 2.526 9.31 5
-0.521 2.55 9.298 5
-0.552 2.541 9.291 5
-0.622 2.56 9.291 5
-0.681 2.565 9.315 5
-0.71 2.572 9.365 5
-0.679 2.598 9.379 5
-0.638 2.591 9.387 5
-0.607 2.574 9.377 5
-0.622 2.555 9.36 5
-0.679 2.565 9.343 5
-0.739 2.553 9.36 5
-0.775 2.553 9.348 5
-0.789 2.56 9.339 5
-0.789 2.581 9.317 4
-0.777 2.617 9.3 5
-0.744 2.634 9.303 5
-0.715 2.646 9.322 5
-0.629 2.627 9.358 5
-0.559 2.612 9.334 5
-0.512 2.589 9.291 5
-0.497 2.557 9.272 5
-0.519 2.524 9.281 5
-0.567 2.495 9.322 5
-0.574 2.469 9.339 5
-0.562 2.459 9.365 5
-0.538 2.455 9.341 5
-0.524 2.44 9.334 5
-0.533 2.428 9.296 5
-0.528 2.433 9.269 5
-0.521 2.457 9.217 5
-0.514 2.466 9.205 5
-0.562 2.502 9.221 5
-0.583 2.538 9.26 5
-0.607 2.538 9.305 5
-0.638 2.562 9.336 5
-0.61 2.543 9.355 5
-0.598 2.512 9.387 5
-0.586 2.481 9.408 5
-0.574 2.474 9.425 5
-0.545 2.476 9.451 5
-0.54 2.495 9.463 5
-0.514 2.488 9.418 5
