# Accelerometer Data File
# Started @Fri Dec 02 13:25:29 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.38 2.376 9.279 0
-0.409 2.385 9.288 4
-0.428 2.404 9.267 5
-0.457 2.397 9.274 5
-0.476 2.407 9.303 5
-0.495 2.409 9.315 5
-0.514 2.414 9.332 5
-0.531 2.423 9.348 5
-0.535 2.462 9.365 5
-0.519 2.488 9.332 5
-0.516 2.49 9.31 5
-0.483 2.493 9.308 5
-0.435 2.483 9.312 5
-0.409 2.471 9.334 5
-0.413 2.464 9.339 5
-0.435 2.457 9.315 5
-0.433 2.455 9.315 5
-0.452 2.455 9.322 5
-0.454 2.457 9.336 5
-0.483 2.471 9.351 5
-0.49 2.462 9.348 5
-0.507 2.483 9.355 5
-0.504 2.488 9.332 5
-0.5 2.474 9.343 5
-0.464 2.474 9.351 5
-0.48 2.476 9.37 5
-0.492 2.495 9.363 5
-0.5 2.507 9.372 5
-0.488 2.522 9.382 5
-0.457 2.526 9.396 5
-0.43 2.512 9.406 4
-0.394 2.493 9.42 5
-0.37 2.49 9.401 5
-0.361 2.493 9.396 5
-0.368 2.512 9.382 5
-0.361 2.512 9.401 5
-0.356 2.524 9.394 5
-0.37 2.522 9.365 5
-0.385 2.533 9.351 5
-0.418 2.519 9.348 5
-0.423 2.505 9.339 5
-0.428 2.486 9.343 5
-0.423 2.478 9.375 5
-0.44 2.507 9.389 5
-0.454 2.519 9.396 5
-0.437 2.536 9.401 5
-0.433 2.541 9.403 5
-0.423 2.548 9.425 5
-0.43 2.512 9.446 5
-0.442 2.519 9.475 5
-0.435 2.514 9.487 5
-0.44 2.5 9.516 5
-0.445 2.507 9.535 5
-0.442 2.51 9.566 5
