# Accelerometer Data File
# Started @Fri Dec 02 13:29:09 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.184 1.28 9.614 0
0.215 1.284 9.626 4
0.227 1.275 9.64 5
0.224 1.263 9.633 5
0.21 1.265 9.621 5
0.196 1.299 9.626 5
0.167 1.296 9.604 5
0.186 1.306 9.595 5
0.201 1.328 9.578 5
0.196 1.339 9.554 5
0.215 1.335 9.535 5
0.229 1.311 9.537 5
0.239 1.28 9.559 5
0.251 1.234 9.578 5
0.256 1.201 9.621 5
0.256 1.153 9.659 5
0.236 1.146 9.659 5
0.201 1.146 9.664 5
0.184 1.153 9.643 5
0.198 1.146 9.647 5
0.198 1.138 9.655 5
0.224 1.146 9.628 5
0.265 1.141 9.58 5
0.253 1.138 9.509 5
0.27 1.184 9.487 5
0.267 1.22 9.458 5
0.296 1.244 9.463 5
0.294 1.275 9.499 5
0.267 1.28 9.504 5
0.232 1.299 9.523 5
0.189 1.339 9.554 5
0.16 1.33 9.607 4
0.148 1.344 9.655 5
0.153 1.325 9.681 5
0.172 1.347 9.698 5
0.184 1.349 9.705 5
0.224 1.32 9.726 5
0.217 1.289 9.738 5
0.215 1.284 9.724 5
0.208 1.272 9.712 5
0.208 1.268 9.69 5
0.224 1.251 9.659 5
0.234 1.263 9.621 5
0.232 1.268 9.616 5
0.241 1.272 9.578 5
0.272 1.277 9.561 5
0.26 1.277 9.54 5
0.253 1.263 9.54 5
0.241 1.265 9.549 5
0.224 1.244 9.583 5
0.222 1.246 9.58 5
0.22 1.237 9.597 5
0.232 1.249 9.609 5
0.232 1.244 9.611 5
0.205 1.258 9.657 5
0.189 1.256 9.686 5
0.153 1.284 9.717 5
0.153 1.263 9.743 5
0.174 1.268 9.714 5
0.201 1.253 9.664 5
0.256 1.258 9.619 5
0.277 1.265 9.566 5
0.275 1.246 9.537 4
0.282 1.261 9.54 5
0.272 1.282 9.559 5
0.282 1.304 9.559 5
0.27 1.308 9.573 5
0.267 1.325 9.554 5
0.241 1.32 9.528 5
0.234 1.323 9.523 5
0.212 1.344 9.564 5
0.205 1.351 9.59 5
0.205 1.349 9.662 5
0.227 1.328 9.674 5
0.253 1.301 9.676 5
0.27 1.289 9.695 5
0.279 1.275 9.683 5
0.279 1.268 9.695 5
0.272 1.263 9.702 5
0.279 1.263 9.741 5
0.277 1.244 9.736 5
0.291 1.261 9.736 5
0.282 1.265 9.664 5
0.222 1.289 9.085 5
0.313 1.33 9.09 5
0.344 1.359 9.147 5
0.356 1.399 9.231 5
0.323 1.383 9.305 5
0.277 1.347 9.384 5
0.267 1.301 9.444 5
0.222 1.275 9.499 5
0.227 1.258 9.568 5
0.258 1.237 9.626 5
0.275 1.215 9.655 5
0.308 1.191 9.647 4
0.334 1.196 9.6 5
0.351 1.196 9.592 5
0.344 1.182 9.585 5
0.344 1.191 9.595 5
0.308 1.196 9.602 5
0.289 1.198 9.614 5
0.27 1.22 9.623 5
0.265 1.253 9.614 5
0.26 1.275 9.631 5
0.251 1.282 9.614 5
0.267 1.304 9.628 5
0.282 1.292 9.607 5
0.26 1.294 9.59 5
0.279 1.311 9.576 5
0.267 1.311 9.568 5
0.284 1.311 9.592 5
0.284 1.328 9.604 5
0.277 1.328 9.614 5
0.248 1.351 9.623 5
0.236 1.359 9.628 5
0.244 1.359 9.633 5
0.236 1.337 9.64 5
0.239 1.337 9.64 5
0.208 1.332 9.664 5
0.21 1.332 9.674 5
0.196 1.356 9.652 5
0.196 1.349 9.652 5
0.191 1.354 9.655 5
0.181 1.359 9.64 5
0.179 1.354 9.619 4
0.169 1.349 9.592 5
0.15 1.356 9.58 5
0.177 1.375 9.554 5
0.181 1.38 9.53 5
0.181 1.375 9.53 5
0.186 1.383 9.513 5
0.205 1.38 9.518 5
0.205 1.356 9.528 5
0.208 1.354 9.549 5
0.229 1.337 9.561 5
0.263 1.32 9.592 5
0.265 1.304 9.621 5
0.277 1.28 9.669 5
0.272 1.268 9.678 5
0.301 1.265 9.667 5
