# Accelerometer Data File
# Started @Fri Dec 02 13:39:32 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.468 1.591 9.439 0
-0.468 1.629 9.475 4
-0.488 1.663 9.492 5
-0.488 1.67 9.499 5
-0.457 1.696 9.533 5
-0.476 1.737 9.573 5
-0.478 1.758 9.616 5
-0.437 1.768 9.669 5
-0.404 1.794 9.731 5
-0.382 1.794 9.765 5
-0.351 1.832 9.803 5
-0.318 1.847 9.899 5
-0.313 1.832 9.968 5
-0.27 1.835 10.011 5
-0.229 1.83 10.037 5
-0.145 1.785 10.052 5
-0.122 1.756 10.052 5
-0.088 1.756 10.042 5
-0.062 1.722 9.987 5
-0.045 1.713 9.911 5
-0.05 1.701 9.832 5
-0.035 1.708 9.784 5
-0.059 1.679 9.743 5
-0.052 1.639 9.676 5
-0.038 1.634 9.614 5
-0.026 1.629 9.559 5
-0.033 1.622 9.489 5
-0.047 1.619 9.401 5
-0.045 1.593 9.343 5
-0.043 1.567 9.262 5
-0.007 1.557 9.265 5
0.009 1.552 9.233 5
0.033 1.533 9.238 4
0.043 1.502 9.245 5
0.05 1.466 9.226 5
0.052 1.452 9.174 5
0.071 1.438 9.119 5
0.071 1.442 9.109 5
0.071 1.442 9.078 5
0.076 1.452 9.08 5
0.076 1.45 9.097 5
0.083 1.462 9.102 5
0.069 1.469 9.159 5
0.057 1.481 9.248 5
0.05 1.483 9.346 5
0.05 1.478 9.432 5
0.002 1.493 9.504 5
-0.052 1.521 9.573 5
-0.055 1.543 9.623 5
-0.093 1.562 9.69 5
-0.095 1.564 9.741 5
-0.095 1.572 9.755 5
-0.057 1.576 9.781 5
-0.031 1.572 9.815 5
0.026 1.55 9.805 5
0.047 1.526 9.808 5
0.047 1.524 9.81 5
0.043 1.529 9.791 5
0.023 1.536 9.765 5
0.028 1.507 9.75 5
0.05 1.493 9.707 5
0.05 1.481 9.655 5
0.05 1.466 9.638 5
0.047 1.462 9.592 5
0.035 1.457 9.53 4
0.031 1.466 9.463 5
-0.021 1.471 9.444 5
-0.076 1.485 9.43 5
-0.119 1.493 9.406 5
-0.148 1.512 9.413 5
-0.148 1.512 9.427 5
-0.157 1.5 9.494 5
-0.145 1.471 9.537 5
-0.155 1.462 9.597 5
-0.174 1.438 9.65 5
-0.145 1.406 9.712 5
-0.155 1.354 9.748 5
-0.138 1.328 9.755 5
-0.143 1.296 9.762 5
-0.155 1.289 9.803 5
-0.174 1.296 9.827 5
-0.186 1.337 9.844 5
-0.193 1.366 9.822 5
-0.177 1.416 9.784 5
-0.203 1.452 9.753 5
-0.21 1.49 9.738 5
-0.224 1.538 9.693 5
-0.241 1.545 9.65 5
-0.26 1.545 9.571 5
-0.284 1.576 9.47 5
-0.33 1.607 9.403 5
-0.368 1.607 9.367 5
-0.409 1.612 9.358 5
-0.425 1.641 9.336 5
-0.454 1.663 9.312 5
-0.44 1.641 9.276 5
-0.428 1.643 9.214 5
-0.409 1.653 9.176 4
-0.387 1.629 9.135 5
-0.394 1.624 9.123 5
-0.39 1.617 9.166 5
-0.392 1.639 9.255 5
-0.409 1.624 9.343 5
-0.413 1.619 9.449 5
-0.428 1.607 9.523 5
-0.428 1.596 9.583 5
-0.449 1.591 9.633 5
-0.48 1.576 9.702 5
-0.488 1.576 9.734 5
-0.509 1.584 9.75 5
-0.528 1.605 9.767 5
-0.543 1.612 9.867 5
-0.512 1.581 9.906 5
-0.421 1.588 9.946 5
-0.366 1.591 9.894 5
-0.334 1.61 9.791 5
-0.332 1.579 9.722 5
-0.323 1.555 9.628 5
-0.301 1.517 9.667 5
-0.22 1.5 9.765 5
-0.198 1.545 9.908 5
-0.186 1.672 9.729 5
-0.27 1.828 9.54 5
-0.55 1.952 9.521 5
-0.772 1.978 9.633 5
-0.88 1.828 9.765 5
-0.684 1.706 9.875 5
-0.497 1.543 9.856 5
-0.358 1.445 9.822 5
-0.275 1.435 9.817 5
-0.239 1.488 9.827 4
-0.244 1.574 9.796 5
-0.244 1.622 9.753 5
-0.267 1.691 9.734 5
-0.265 1.725 9.621 5
-0.267 1.737 9.487 5
-0.253 1.73 9.372 5
-0.267 1.741 9.255 5
-0.303 1.753 9.19 5
-0.33 1.73 9.147 5
-0.358 1.773 9.071 5
-0.397 1.775 9.044 5
-0.457 1.797 9.03 5
-0.471 1.818 9.037 5
-0.49 1.808 9.059 5
-0.464 1.818 9.064 5
-0.425 1.825 9.08 5
-0.385 1.828 9.111 5
-0.344 1.797 9.138 5
-0.282 1.78 9.19 5
-0.263 1.763 9.269 5
-0.22 1.722 9.341 5
-0.193 1.667 9.442 5
-0.167 1.622 9.533 5
-0.138 1.574 9.547 5
-0.143 1.512 9.554 5
-0.143 1.438 9.564 5
-0.15 1.375 9.564 5
-0.167 1.304 9.59 5
-0.205 1.239 9.597 5
-0.236 1.182 9.59 5
-0.282 1.155 9.578 5
-0.342 1.11 9.573 4
-0.373 1.064 9.578 5
-0.416 1.014 9.568 5
-0.461 1.012 9.559 5
-0.509 0.988 9.571 5
-0.533 0.971 9.6 5
-0.545 0.988 9.616 5
-0.485 1.009 9.655 5
-0.418 1.024 9.7 5
-0.325 1.012 9.731 5
-0.277 0.971 9.745 5
-0.205 0.937 9.75 5
-0.143 0.94 9.755 5
-0.088 0.923 9.762 5
-0.05 0.885 9.757 5
0.0 0.789 9.753 5
0.031 0.71 9.729 5
0.047 0.636 9.655 5
0.05 0.559 9.561 5
0.043 0.485 9.489 5
-0.021 0.428 9.41 5
-0.098 0.387 9.341 5
-0.21 0.356 9.296 5
-0.346 0.358 9.253 5
-0.435 0.311 9.207 5
-0.54 0.287 9.209 5
-0.619 0.279 9.178 5
-0.693 0.251 9.157 5
-0.799 0.246 9.116 5
-0.914 0.246 9.075 5
-1.028 0.272 9.04 5
-1.112 0.299 9.004 5
-1.129 0.334 8.946 5
-1.158 0.363 8.91 4
-1.141 0.43 8.863 5
-1.086 0.488 8.867 5
-1.028 0.564 8.843 5
-1.002 0.629 8.858 5
-0.954 0.703 8.874 5
-0.894 0.727 8.898 5
-0.818 0.732 8.918 5
-0.734 0.741 8.953 5
-0.61 0.705 8.98 5
-0.504 0.691 8.982 5
-0.44 0.686 8.997 5
-0.356 0.715 9.025 5
-0.296 0.729 9.09 5
-0.267 0.739 9.145 5
-0.205 0.725 9.241 5
-0.143 0.655 9.291 5
-0.067 0.564 9.31 5
-0.026 0.483 9.327 5
-0.064 0.437 9.375 5
-0.126 0.483 9.497 5
-0.215 0.581 9.652 5
-0.318 0.746 9.784 5
-0.387 0.894 10.011 5
-0.39 1.031 10.25 5
-0.406 1.134 10.509 5
-0.337 1.184 10.743 5
-0.248 1.182 10.935 5
-0.153 1.141 11.05 5
-0.016 1.093 11.112 5
0.057 1.031 11.112 5
0.15 1.002 11.026 5
0.201 0.99 10.896 4
0.256 1.004 10.746 5
0.289 1.012 10.602 5
0.289 1.024 10.516 5
0.308 1.031 10.392 5
0.337 1.028 10.303 5
0.375 1.021 10.236 5
0.406 1.002 10.181 5
0.39 1.007 10.138 5
0.375 1.026 10.147 5
0.354 1.083 10.14 5
0.313 1.115 10.143 5
0.289 1.165 10.181 5
0.265 1.203 10.198 5
0.277 1.237 10.248 5
0.275 1.249 10.296 5
0.27 1.256 10.32 5
0.256 1.244 10.308 5
0.191 1.217 10.301 5
0.148 1.172 10.289 5
0.086 1.15 10.222 5
0.055 1.117 10.124 5
0.047 1.095 9.992 5
0.016 1.083 9.846 5
-0.055 1.045 9.743 5
-0.095 1.048 9.638 5
-0.124 1.019 9.516 5
-0.157 1.004 9.42 5
-0.205 1.0 9.334 5
-0.217 1.009 9.272 5
-0.244 1.033 9.243 5
-0.289 1.071 9.248 5
-0.299 1.105 9.291 4
-0.294 1.15 9.355 5
-0.287 1.182 9.408 5
-0.239 1.203 9.494 5
-0.181 1.217 9.604 5
-0.136 1.241 9.647 5
-0.093 1.222 9.734 5
-0.081 1.21 9.757 5
-0.093 1.237 9.8 5
-0.11 1.237 9.872 5
-0.143 1.227 9.918 5
-0.196 1.205 9.97 5
-0.208 1.177 10.004 5
-0.239 1.153 10.045 5
-0.277 1.119 10.047 5
-0.332 1.127 10.035 5
-0.37 1.141 10.021 5
-0.418 1.136 10.006 5
-0.459 1.153 9.999 5
-0.485 1.146 10.001 5
-0.524 1.11 9.968 5
-0.531 1.055 9.92 5
-0.552 0.997 9.875 5
-0.593 0.933 9.836 5
-0.686 0.914 9.856 5
-0.772 0.914 9.903 5
-0.882 0.971 9.956 5
-0.94 1.024 10.018 5
-1.004 1.1 10.04 5
-1.021 1.172 10.076 5
-0.976 1.253 10.078 5
-0.928 1.296 10.119 5
-0.825 1.325 10.121 4
-0.701 1.347 10.124 5
-0.538 1.363 10.128 5
-0.356 1.411 10.136 5
-0.208 1.485 10.092 5
-0.131 1.569 10.037 5
-0.093 1.648 10.009 5
-0.124 1.713 9.975 5
-0.143 1.773 9.889 5
-0.186 1.813 9.791 5
-0.232 1.82 9.748 5
-0.301 1.811 9.688 5
-0.394 1.792 9.628 5
-0.476 1.749 9.544 5
-0.574 1.686 9.449 5
-0.713 1.603 9.348 5
-0.873 1.569 9.291 5
-1.04 1.572 9.231 5
-1.208 1.572 9.154 5
-1.347 1.567 9.068 5
-1.445 1.586 9.028 5
-1.495 1.605 9.035 5
-1.462 1.646 9.111 5
-1.416 1.698 9.157 5
-1.347 1.734 9.205 5
-1.215 1.797 9.255 5
-1.131 1.899 9.375 5
-1.062 2.002 9.511 5
-0.945 2.11 9.547 5
-0.727 2.184 9.535 5
-0.497 2.244 9.585 5
-0.282 2.297 9.609 5
-0.114 2.342 9.7 5
0.021 2.349 9.753 4
0.124 2.321 9.76 5
0.222 2.261 9.769 5
0.294 2.208 9.769 5
0.334 2.132 9.753 5
0.373 2.057 9.743 5
0.37 2.019 9.745 5
0.313 1.974 9.743 5
0.265 1.95 9.731 5
0.205 1.921 9.686 5
0.069 1.895 9.65 5
-0.05 1.847 9.64 5
-0.217 1.794 9.638 5
-0.411 1.741 9.647 5
-0.6 1.689 9.7 5
-0.751 1.627 9.719 5
-0.82 1.519 9.755 5
-0.65 1.478 9.719 5
-0.756 1.45 9.717 5
-1.009 1.44 9.614 5
-1.208 1.421 9.454 5
-1.363 1.378 9.367 5
-1.464 1.404 9.387 5
-1.457 1.371 9.47 5
-1.426 1.359 9.643 5
-1.354 1.32 9.736 5
-1.241 1.304 9.753 5
-1.127 1.289 9.724 5
-0.981 1.258 9.59 5
-0.825 1.21 9.434 5
-0.701 1.201 9.312 5
-0.607 1.16 9.209 5
-0.574 1.119 9.087 4
-0.617 1.067 9.042 5
-0.722 1.024 9.054 5
-0.847 0.966 9.092 5
-0.985 0.911 9.159 5
-1.103 0.873 9.274 5
-1.191 0.847 9.406 5
-1.275 0.842 9.566 5
-1.313 0.875 9.714 5
-1.347 0.923 9.753 5
-1.416 0.959 9.748 5
-1.433 1.026 9.698 5
-1.459 1.05 9.724 5
-1.44 1.045 9.753 5
-1.433 1.038 9.779 5
-1.38 1.016 9.793 5
-1.359 1.004 9.774 5
-1.301 0.971 9.755 5
