# Accelerometer Data File
# Started @Fri Dec 02 13:25:29 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.61 4.792 8.688 0
-0.559 4.826 8.587 4
-0.545 4.859 8.559 5
-0.583 4.867 8.616 5
-0.634 4.828 8.724 5
-0.665 4.809 8.781 5
-0.648 4.759 8.784 5
-0.626 4.692 8.757 5
-0.6 4.63 8.69 5
-0.581 4.62 8.645 5
-0.569 4.627 8.568 5
-0.579 4.644 8.453 5
-0.614 4.656 8.35 5
-0.641 4.642 8.298 5
-0.713 4.644 8.245 5
-0.789 4.649 8.19 5
-0.882 4.622 8.102 5
-1.002 4.589 8.001 5
-1.002 4.642 8.104 5
-0.959 4.644 8.288 5
-0.916 4.699 8.36 5
-0.894 4.749 8.415 5
-0.827 4.773 8.48 5
-0.825 4.785 8.561 5
-0.82 4.78 8.659 5
-0.863 4.804 8.721 5
-0.882 4.823 8.829 5
-0.918 4.819 8.941 5
-0.961 4.826 9.011 5
-1.004 4.823 9.073 4
-1.057 4.84 9.073 5
-1.088 4.862 9.071 5
-1.15 4.862 8.863 5
-1.172 4.809 8.578 5
-1.153 4.811 8.391 5
-1.119 4.823 8.312 5
-1.1 4.91 8.267 5
-1.095 5.029 8.228 5
-1.088 5.144 8.238 5
-1.117 5.235 8.219 5
-1.174 5.285 8.188 5
-1.256 5.278 8.173 5
-1.284 5.233 8.173 5
-1.261 5.149 8.197 5
-1.179 5.067 8.264 5
-1.057 4.945 8.374 5
-0.837 4.826 8.477 5
-0.607 4.603 8.525 5
-0.342 4.376 8.523 5
-0.112 4.223 8.528 5
0.095 4.096 8.528 5
0.299 4.012 8.523 5
0.437 3.979 8.566 5
0.547 3.933 8.599 5
0.569 3.931 8.618 5
0.617 3.878 8.733 5
0.677 3.847 8.827 5
0.65 3.873 8.915 5
0.598 3.945 9.037 4
0.492 4.06 9.068 5
0.382 4.24 9.09 5
0.253 4.4 9.102 5
0.057 4.52 9.037 5
-0.134 4.61 8.791 5
-0.344 4.658 8.528 5
-0.476 4.706 8.25 5
-0.478 4.713 7.85 5
-0.397 4.701 7.714 5
-0.449 4.685 7.647 5
-0.586 4.728 7.633 5
-0.753 4.811 7.599 5
-0.851 4.847 7.518 5
-0.928 4.79 7.506 5
-0.969 4.692 7.769 5
-1.009 4.587 8.075 5
-0.906 4.517 8.324 5
-0.636 4.28 8.214 5
-0.368 4.158 8.102 5
-0.296 4.259 8.193 5
-0.409 4.455 8.475 5
-0.576 4.587 8.788 5
-0.583 4.515 9.001 5
-0.428 4.352 9.164 5
-0.212 4.216 9.253 5
-0.09 4.153 9.26 5
-0.009 4.153 9.188 5
-0.043 4.197 9.102 5
-0.069 4.249 8.927 5
-0.196 4.28 8.779 5
-0.248 4.292 8.635 4
-0.308 4.278 8.537 5
-0.358 4.307 8.501 5
-0.387 4.333 8.511 5
-0.43 4.402 8.537 5
-0.5 4.462 8.595 5
-0.562 4.553 8.647 5
-0.636 4.646 8.65 5
-0.729 4.706 8.583 5
-0.823 4.728 8.58 5
-0.935 4.62 8.946 5
-0.899 4.465 8.946 5
-0.61 4.51 8.549 5
-0.363 4.661 8.37 5
-0.373 4.862 8.537 5
-0.519 4.986 8.8 5
-0.66 4.938 8.93 5
-0.602 4.725 9.006 5
-0.442 4.536 9.001 5
-0.339 4.448 8.886 5
-0.325 4.486 8.65 5
-0.361 4.503 8.417 5
-0.346 4.508 8.305 5
-0.332 4.462 8.276 5
-0.301 4.448 8.212 5
-0.294 4.457 8.137 5
-0.272 4.491 8.087 5
-0.241 4.496 8.068 5
-0.234 4.505 8.111 5
-0.205 4.51 8.207 5
-0.174 4.524 8.291 5
-0.193 4.558 8.319 4
-0.186 4.555 8.403 5
-0.157 4.524 8.432 5
-0.165 4.498 8.446 5
-0.16 4.484 8.437 5
-0.165 4.493 8.482 5
-0.196 4.503 8.539 5
-0.239 4.522 8.578 5
-0.296 4.488 8.616 5
-0.291 4.431 8.626 5
-0.251 4.335 8.664 5
-0.239 4.29 8.662 5
-0.296 4.297 8.609 5
-0.303 4.378 8.291 5
-0.294 4.386 7.992 5
-0.358 4.424 8.403 5
-0.528 4.421 8.958 5
-0.665 4.407 9.178 5
-0.679 4.354 9.126 5
-0.655 4.374 8.975 5
-0.593 4.407 8.913 5
-0.521 4.443 8.951 5
-0.478 4.431 8.951 5
-0.423 4.407 8.891 5
-0.387 4.402 8.798 5
-0.358 4.398 8.712 5
-0.311 4.364 8.678 5
-0.342 4.333 8.614 5
-0.385 4.333 8.563 5
-0.442 4.354 8.561 5
-0.459 4.357 8.595 5
-0.449 4.383 8.597 5
-0.478 4.412 8.587 4
-0.476 4.414 8.626 5
